step,tokens,elapsed_s,unix_ts,loss,grad_norm,lr_mult,tok_s
0,0,34.6,1785918667.4,9.1176,6.748,0.0003,0
20,5242880,78.1,1785918711.0,9.0339,6.201,0.0070,120372
40,10485760,103.4,1785918736.2,8.8192,5.293,0.0137,207570
60,15728640,128.7,1785918761.6,8.5412,3.887,0.0203,206709
80,20971520,154.2,1785918787.0,8.2853,2.146,0.0270,206301
100,26214400,179.6,1785918812.5,8.0853,1.176,0.0337,205913
120,31457280,205.1,1785918838.0,7.9348,1.053,0.0403,205759
140,36700160,230.6,1785918863.5,7.7684,1.326,0.0470,205236
160,41943040,256.1,1785918889.0,7.6027,1.572,0.0537,205668
180,47185920,281.7,1785918914.5,7.4480,1.718,0.0603,205506
200,52428800,307.2,1785918940.0,7.2484,2.553,0.0670,205421
220,57671680,332.7,1785918965.6,6.9632,2.337,0.0737,205203
240,62914560,358.3,1785918991.2,6.8364,2.772,0.0803,204969
260,68157440,388.0,1785919020.8,6.6540,2.846,0.0870,176714
280,73400320,413.5,1785919046.3,6.4936,2.628,0.0937,205466
300,78643200,439.0,1785919071.8,6.3438,2.997,0.1003,205613
320,83886080,464.5,1785919097.3,6.2698,3.495,0.1070,205836
340,89128960,489.9,1785919122.8,6.1061,3.669,0.1137,205695
360,94371840,515.5,1785919148.3,5.9801,4.530,0.1203,205503
380,99614720,540.9,1785919173.8,5.7995,4.024,0.1270,205802
400,104857600,566.5,1785919199.3,5.6831,4.661,0.1337,205426
420,110100480,592.0,1785919224.8,5.5975,4.126,0.1403,205594
440,115343360,617.5,1785919250.3,5.4946,4.333,0.1470,205380
460,120586240,643.0,1785919275.9,5.3804,4.264,0.1537,205458
480,125829120,668.5,1785919301.4,5.3001,2.849,0.1603,205354
500,131072000,694.1,1785919326.9,5.1825,3.322,0.1670,205349
520,136314880,723.4,1785919356.2,5.1415,2.792,0.1737,178973
540,141557760,748.9,1785919381.8,5.0923,2.608,0.1803,204893
560,146800640,774.5,1785919407.4,4.9629,2.717,0.1870,205104
580,152043520,800.0,1785919432.9,4.9758,2.621,0.1937,205339
600,157286400,825.6,1785919458.4,4.8717,2.224,0.2003,205383
620,162529280,851.2,1785919484.1,4.8151,2.028,0.2070,204524
640,167772160,876.8,1785919509.6,4.8430,2.116,0.2137,205005
660,173015040,902.3,1785919535.2,4.7323,1.779,0.2203,205079
680,178257920,927.9,1785919560.8,4.7487,2.279,0.2270,205114
700,183500800,953.4,1785919586.3,4.6498,1.671,0.2337,205461
720,188743680,978.9,1785919611.8,4.6490,1.474,0.2403,205423
740,193986560,1004.5,1785919637.3,4.5544,1.385,0.2470,205273
760,199229440,1034.1,1785919667.0,4.5437,1.349,0.2537,176976
780,204472320,1059.6,1785919692.5,4.4992,1.257,0.2603,205550
800,209715200,1085.1,1785919718.0,4.4948,1.371,0.2670,205746
820,214958080,1110.6,1785919743.5,4.5022,1.221,0.2737,205437
