step,tokens,elapsed_s,loss,grad_norm,lr_mult
0,0,20.3,9.1717,8.099,0.0003
20,5242880,69.8,9.0619,7.853,0.0070
40,10485760,106.8,8.7673,6.430,0.0137
60,15728640,143.4,8.4215,4.098,0.0203
80,20971520,179.6,8.1279,2.051,0.0270
100,26214400,215.6,7.8948,1.130,0.0337
120,31457280,250.8,7.7329,1.120,0.0403
140,36700160,286.3,7.5222,1.964,0.0470
160,41943040,320.7,7.3150,2.381,0.0537
180,47185920,354.6,7.0784,2.566,0.0603
200,52428800,388.2,6.8593,2.592,0.0670
220,57671680,421.7,6.6050,3.675,0.0737
240,62914560,454.9,6.4268,3.454,0.0803
260,68157440,491.1,6.2983,3.584,0.0870
280,73400320,524.0,6.1052,3.948,0.0937
300,78643200,556.7,5.9778,4.359,0.1003
320,83886080,588.9,5.8371,4.579,0.1070
340,89128960,621.6,5.6448,4.473,0.1137
360,94371840,653.5,5.5492,5.575,0.1203
380,99614720,685.5,5.4117,4.852,0.1270
400,104857600,717.2,5.3193,4.875,0.1337
420,110100480,748.3,5.1670,4.538,0.1403
440,115343360,779.5,5.1266,3.797,0.1470
460,120586240,810.3,5.0523,3.493,0.1537
480,125829120,840.9,4.9348,3.014,0.1603
500,131072000,871.6,4.8787,2.934,0.1670
520,136314880,904.2,4.8426,2.812,0.1737
540,141557760,934.7,4.7677,3.185,0.1803
560,146800640,965.3,4.6909,2.260,0.1870
580,152043520,995.5,4.6515,2.368,0.1937
600,157286400,1025.7,4.5786,2.210,0.2003
620,162529280,1055.7,4.5232,2.083,0.2070
640,167772160,1085.8,4.5598,1.873,0.2137
660,173015040,1115.7,4.5845,1.783,0.2203
680,178257920,1145.6,4.4469,1.793,0.2270
700,183500800,1175.7,4.4506,1.786,0.2337
720,188743680,1207.5,4.3889,1.525,0.2403
740,193986560,1238.1,4.3945,1.457,0.2470
760,199229440,1270.4,4.3119,1.348,0.2537
780,204472320,1300.3,4.2521,1.354,0.2603
800,209715200,1330.2,4.3239,1.284,0.2670
820,214958080,1359.9,4.2328,1.119,0.2737
840,220200960,1389.7,4.1871,1.047,0.2803
860,225443840,1419.3,4.1505,1.106,0.2870
880,230686720,1449.0,4.1404,1.005,0.2937
900,235929600,1478.5,4.1387,0.907,0.3003
920,241172480,1508.2,4.0735,0.996,0.3070
940,246415360,1537.4,4.1507,0.941,0.3137
960,251658240,1566.8,4.0736,0.840,0.3203
980,256901120,1596.1,4.0254,0.858,0.3270
1000,262144000,1625.5,4.1002,0.828,0.3337
1020,267386880,1656.9,4.0510,0.757,0.3403
1040,272629760,1686.3,3.9629,0.685,0.3470
1060,277872640,1715.5,4.0225,0.715,0.3537
1080,283115520,1744.6,3.9727,0.750,0.3603
1100,288358400,1773.7,4.0162,0.722,0.3670
1120,293601280,1802.7,3.9062,0.656,0.3737
1140,298844160,1831.9,3.9968,0.754,0.3803
1160,304087040,1860.8,3.9808,0.635,0.3870
1180,309329920,1890.1,3.8403,0.629,0.3937
1200,314572800,1919.0,3.9508,0.556,0.4003
1220,319815680,1947.8,3.9046,0.593,0.4070
1240,325058560,1976.7,3.8673,0.530,0.4137
1260,330301440,2007.9,3.8744,0.606,0.4203
1280,335544320,2036.9,3.8512,0.545,0.4270
1300,340787200,2065.9,3.9037,0.566,0.4337
1320,346030080,2094.8,3.8655,0.458,0.4403
1340,351272960,2123.6,3.8558,0.506,0.4470
1360,356515840,2152.3,3.8706,0.457,0.4537
1380,361758720,2181.0,3.7962,0.460,0.4603
1400,367001600,2209.8,3.8287,0.465,0.4670
1420,372244480,2238.8,3.7806,0.503,0.4737
1440,377487360,2267.5,3.8035,0.505,0.4803
1460,382730240,2296.2,3.7403,0.485,0.4870
1480,387973120,2326.2,3.8068,0.425,0.4937
1500,393216000,2354.9,3.7005,0.418,0.5003
1520,398458880,2385.3,3.7476,0.440,0.5070
1540,403701760,2413.9,3.7497,0.369,0.5137
1560,408944640,2442.6,3.6964,0.383,0.5203
1580,414187520,2471.3,3.7009,0.394,0.5270
1600,419430400,2500.2,3.7089,0.375,0.5337
1620,424673280,2528.8,3.7238,0.357,0.5403
1640,429916160,2557.5,3.6768,0.347,0.5470
1660,435159040,2586.2,3.7237,0.373,0.5537
1680,440401920,2614.8,3.6632,0.342,0.5603
1700,445644800,2643.4,3.7420,0.380,0.5670
1720,450887680,2671.9,3.6697,0.326,0.5737
1740,456130560,2700.5,3.6823,0.371,0.5803
1760,461373440,2731.6,3.7205,0.354,0.5870
1780,466616320,2760.7,3.6476,0.366,0.5937
1800,471859200,2789.3,3.6446,0.353,0.6003
1820,477102080,2817.9,3.6496,0.346,0.6070
1840,482344960,2846.4,3.7379,0.337,0.6137
1860,487587840,2875.0,3.6122,0.349,0.6203
1880,492830720,2903.5,3.6002,0.316,0.6270
1900,498073600,2932.0,3.7093,0.290,0.6337
1920,503316480,2960.4,3.6081,0.273,0.6403
1940,508559360,2988.9,3.6638,0.310,0.6470
1960,513802240,3017.4,3.6182,0.280,0.6537
1980,519045120,3046.1,3.6740,0.321,0.6603
2000,524288000,3074.6,3.6034,0.277,0.6670
2020,529530880,3105.9,3.6006,0.318,0.6737
2040,534773760,3134.4,3.6437,0.289,0.6803
2060,540016640,3163.0,3.5851,0.274,0.6870
2080,545259520,3191.4,3.6400,0.277,0.6937
2100,550502400,3219.9,3.5364,0.280,0.7003
2120,555745280,3248.4,3.5818,0.278,0.7070
2140,560988160,3277.0,3.6254,0.309,0.7137
2160,566231040,3305.6,3.5812,0.284,0.7203
2180,571473920,3334.2,3.5910,0.277,0.7270
2200,576716800,3362.7,3.5599,0.261,0.7337
2220,581959680,3391.3,3.5090,0.280,0.7403
2240,587202560,3419.7,3.5550,0.281,0.7470
2260,592445440,3450.7,3.5651,0.242,0.7537
2280,597688320,3479.1,3.5877,0.243,0.7603
2300,602931200,3507.6,3.5102,0.240,0.7670
2320,608174080,3536.2,3.5427,0.260,0.7737
2340,613416960,3564.6,3.4250,0.241,0.7803
2360,618659840,3593.1,3.5363,0.255,0.7870
2380,623902720,3621.6,3.5784,0.241,0.7937
2400,629145600,3650.0,3.4891,0.230,0.8003
2420,634388480,3678.4,3.5225,0.217,0.8070
2440,639631360,3707.2,3.4878,0.204,0.8137
2460,644874240,3735.6,3.5391,0.250,0.8203
2480,650117120,3764.0,3.5436,0.229,0.8270
