step,tokens,elapsed_s,unix_ts,loss,grad_norm,lr_mult,tok_s
1780,466616320,11686.9,1786119433.9,3.4483,0.271,0.5937,40710
1800,471859200,11815.6,1786119562.6,3.4434,0.273,0.6003,40733
1820,477102080,11944.3,1786119691.3,3.4984,0.285,0.6070,40736
1840,482344960,12073.5,1786119820.4,3.4606,0.260,0.6137,40606
1860,487587840,12202.2,1786119949.1,3.4622,0.261,0.6203,40740
1880,492830720,12331.0,1786120078.0,3.4382,0.256,0.6270,40692
1900,498073600,12459.9,1786120206.9,3.3801,0.236,0.6337,40675
1920,503316480,12588.8,1786120335.8,3.4392,0.250,0.6403,40670
1940,508559360,12717.8,1786120464.7,3.4404,0.259,0.6470,40655
1960,513802240,12846.7,1786120593.6,3.4702,0.234,0.6537,40673
1980,519045120,12975.6,1786120722.6,3.4246,0.241,0.6603,40672
2000,524288000,13104.4,1786120851.4,3.3981,0.263,0.6670,40689
2020,529530880,13249.5,1786120996.5,3.4746,0.228,0.6737,36136
2040,534773760,13378.4,1786121125.4,3.4180,0.234,0.6803,40682
2060,540016640,13507.4,1786121254.4,3.4618,0.244,0.6870,40638
2080,545259520,13636.4,1786121383.4,3.4157,0.240,0.6937,40642
2100,550502400,13765.7,1786121512.6,3.3777,0.261,0.7003,40564
2120,555745280,13894.7,1786121641.7,3.4428,0.228,0.7070,40635
2140,560988160,14023.5,1786121770.5,3.3602,0.218,0.7137,40694
2160,566231040,14152.4,1786121899.4,3.3586,0.210,0.7203,40682
2180,571473920,14281.4,1786122028.3,3.3561,0.231,0.7270,40654
2200,576716800,14410.2,1786122157.2,3.2919,0.234,0.7337,40680
2220,581959680,14539.2,1786122286.2,3.3469,0.223,0.7403,40652
2240,587202560,14668.1,1786122415.1,3.3203,0.213,0.7470,40671
2260,592445440,14813.4,1786122560.4,3.3588,0.204,0.7537,36089
2280,597688320,14942.3,1786122689.2,3.3848,0.219,0.7603,40686
2300,602931200,15071.2,1786122818.2,3.3715,0.230,0.7670,40660
2320,608174080,15200.2,1786122947.1,3.3031,0.196,0.7737,40656
2340,613416960,15329.2,1786123076.2,3.3571,0.228,0.7803,40615
2360,618659840,15458.2,1786123205.2,3.3095,0.194,0.7870,40656
2380,623902720,15587.1,1786123334.1,3.3400,0.198,0.7937,40681
2400,629145600,15715.9,1786123462.9,3.3255,0.221,0.8003,40699
2420,634388480,15844.7,1786123591.6,3.3444,0.205,0.8070,40715
2440,639631360,15973.4,1786123720.4,3.3672,0.189,0.8137,40726
2460,644874240,16102.2,1786123849.2,3.3065,0.197,0.8203,40702
2480,650117120,16231.0,1786123978.0,3.3642,0.216,0.8270,40701
