step,tokens,elapsed_s,unix_ts,loss,grad_norm,lr_mult,tok_s
0,0,43.9,1785985377.1,9.1706,7.949,0.0003,0
20,5242880,113.3,1785985446.4,9.0578,8.103,0.0070,75627
40,10485760,159.9,1785985493.1,8.7755,6.463,0.0137,112364
60,15728640,206.8,1785985539.9,8.4236,4.160,0.0203,111964
80,20971520,253.7,1785985586.9,8.1210,2.041,0.0270,111662
100,26214400,300.7,1785985633.8,7.9028,1.175,0.0337,111675
120,31457280,347.6,1785985680.8,7.7204,1.064,0.0403,111588
140,36700160,394.6,1785985727.8,7.5284,1.654,0.0470,111628
160,41943040,441.7,1785985774.9,7.3172,2.344,0.0537,111258
180,47185920,488.8,1785985821.9,7.0824,3.134,0.0603,111462
200,52428800,535.9,1785985869.0,6.8349,2.680,0.0670,111311
220,57671680,583.0,1785985916.1,6.5941,3.325,0.0737,111307
240,62914560,629.9,1785985963.1,6.4145,3.056,0.0803,111623
260,68157440,683.2,1785986016.4,6.2644,3.354,0.0870,98361
280,73400320,730.2,1785986063.4,6.0790,4.053,0.0937,111604
300,78643200,777.3,1785986110.4,5.9116,4.154,0.1003,111421
320,83886080,824.3,1785986157.5,5.7732,3.874,0.1070,111434
340,89128960,871.4,1785986204.6,5.6809,5.115,0.1137,111284
360,94371840,918.6,1785986251.7,5.5442,4.960,0.1203,111259
380,99614720,965.6,1785986298.8,5.4423,5.526,0.1270,111413
400,104857600,1012.6,1785986345.8,5.2686,4.444,0.1337,111581
420,110100480,1059.6,1785986392.8,5.1782,4.452,0.1403,111580
440,115343360,1107.2,1785986440.3,5.0629,3.460,0.1470,110245
460,120586240,1154.1,1785986487.3,5.0273,3.693,0.1537,111588
480,125829120,1201.2,1785986534.3,4.9143,3.357,0.1603,111507
500,131072000,1248.3,1785986581.5,4.8617,3.029,0.1670,111250
520,136314880,1301.6,1785986634.8,4.8345,3.304,0.1737,98337
540,141557760,1348.6,1785986681.7,4.7564,2.610,0.1803,111648
560,146800640,1395.5,1785986728.6,4.6589,2.087,0.1870,111742
580,152043520,1442.5,1785986775.7,4.5770,2.288,0.1937,111472
