Corpus: 5,402,429,161 tokens (54,024,291 val) | device: cuda | bf16 + FlashAttention
Model: 47.1M params | GQA 9q/3kv | Muon+AdamW
step   1860 | loss 3.7122 | grad_norm 0.349 | lr x0.620
step   1880 | loss 3.8014 | grad_norm 0.361 | lr x0.627
step   1900 | loss 3.8105 | grad_norm 0.364 | lr x0.634
step   1920 | loss 3.7626 | grad_norm 0.341 | lr x0.640
step   1940 | loss 3.7235 | grad_norm 0.366 | lr x0.647
step   1960 | loss 3.7807 | grad_norm 0.356 | lr x0.654
step   1980 | loss 3.7928 | grad_norm 0.354 | lr x0.660
step   2000 | loss 3.7832 | grad_norm 0.353 | lr x0.667
           val loss 3.9929
step   2020 | loss 3.8107 | grad_norm 0.322 | lr x0.674
step   2040 | loss 3.7777 | grad_norm 0.337 | lr x0.680
step   2060 | loss 3.7476 | grad_norm 0.334 | lr x0.687
step   2080 | loss 3.7750 | grad_norm 0.320 | lr x0.694
step   2100 | loss 3.7747 | grad_norm 0.318 | lr x0.700
step   2120 | loss 3.7619 | grad_norm 0.323 | lr x0.707
step   2140 | loss 3.6989 | grad_norm 0.327 | lr x0.714
step   2160 | loss 3.7045 | grad_norm 0.279 | lr x0.720
step   2180 | loss 3.6690 | grad_norm 0.315 | lr x0.727
step   2200 | loss 3.7528 | grad_norm 0.336 | lr x0.734
step   2220 | loss 3.6937 | grad_norm 0.301 | lr x0.740
step   2240 | loss 3.7110 | grad_norm 0.291 | lr x0.747
           val loss 3.9734
step   2260 | loss 3.7515 | grad_norm 0.322 | lr x0.754
step   2280 | loss 3.7132 | grad_norm 0.278 | lr x0.760
step   2300 | loss 3.7080 | grad_norm 0.302 | lr x0.767
step   2320 | loss 3.7141 | grad_norm 0.287 | lr x0.774
step   2340 | loss 3.7061 | grad_norm 0.307 | lr x0.780
step   2360 | loss 3.6971 | grad_norm 0.263 | lr x0.787
step   2380 | loss 3.7095 | grad_norm 0.280 | lr x0.794
step   2400 | loss 3.7356 | grad_norm 0.299 | lr x0.800
step   2420 | loss 3.7266 | grad_norm 0.290 | lr x0.807
step   2440 | loss 3.6723 | grad_norm 0.275 | lr x0.814
step   2460 | loss 3.7348 | grad_norm 0.291 | lr x0.820
step   2480 | loss 3.6792 | grad_norm 0.272 | lr x0.827
step   2500 | loss 3.6630 | grad_norm 0.253 | lr x0.834
           val loss 3.8848
step   2520 | loss 3.6710 | grad_norm 0.264 | lr x0.840
step   2540 | loss 3.6895 | grad_norm 0.266 | lr x0.847
step   2560 | loss 3.7378 | grad_norm 0.269 | lr x0.854
step   2580 | loss 3.6611 | grad_norm 0.237 | lr x0.860
step   2600 | loss 3.6267 | grad_norm 0.265 | lr x0.867
step   2620 | loss 3.5999 | grad_norm 0.266 | lr x0.874
step   2640 | loss 3.7237 | grad_norm 0.259 | lr x0.880
step   2660 | loss 3.6926 | grad_norm 0.238 | lr x0.887
step   2680 | loss 3.6635 | grad_norm 0.254 | lr x0.894
step   2700 | loss 3.6916 | grad_norm 0.259 | lr x0.900
step   2720 | loss 3.6278 | grad_norm 0.262 | lr x0.907
step   2740 | loss 3.5991 | grad_norm 0.239 | lr x0.914
           val loss 3.9072
step   2760 | loss 3.6483 | grad_norm 0.231 | lr x0.920
step   2780 | loss 3.6296 | grad_norm 0.236 | lr x0.927
step   2800 | loss 3.6404 | grad_norm 0.254 | lr x0.934
step   2820 | loss 3.6336 | grad_norm 0.214 | lr x0.940
step   2840 | loss 3.6437 | grad_norm 0.251 | lr x0.947
step   2860 | loss 3.6456 | grad_norm 0.206 | lr x0.954
step   2880 | loss 3.6282 | grad_norm 0.233 | lr x0.960
step   2900 | loss 3.6770 | grad_norm 0.214 | lr x0.967
step   2920 | loss 3.5945 | grad_norm 0.230 | lr x0.974
step   2940 | loss 3.5668 | grad_norm 0.249 | lr x0.980
step   2960 | loss 3.6782 | grad_norm 0.241 | lr x0.987
step   2980 | loss 3.6414 | grad_norm 0.226 | lr x0.994
step   3000 | loss 3.5902 | grad_norm 0.244 | lr x1.000
           val loss 3.8690
step   3020 | loss 3.5720 | grad_norm 0.225 | lr x1.000
step   3040 | loss 3.6347 | grad_norm 0.211 | lr x1.000
step   3060 | loss 3.6338 | grad_norm 0.210 | lr x1.000
step   3080 | loss 3.6204 | grad_norm 0.214 | lr x1.000
step   3100 | loss 3.5935 | grad_norm 0.198 | lr x1.000
step   3120 | loss 3.5700 | grad_norm 0.214 | lr x1.000
step   3140 | loss 3.5726 | grad_norm 0.198 | lr x1.000
step   3160 | loss 3.5651 | grad_norm 0.207 | lr x1.000
step   3180 | loss 3.5929 | grad_norm 0.189 | lr x1.000
step   3200 | loss 3.5998 | grad_norm 0.196 | lr x1.000
step   3220 | loss 3.6324 | grad_norm 0.204 | lr x1.000
step   3240 | loss 3.6264 | grad_norm 0.187 | lr x1.000
           val loss 3.8222
step   3260 | loss 3.6029 | grad_norm 0.189 | lr x1.000
step   3280 | loss 3.5894 | grad_norm 0.192 | lr x1.000
step   3300 | loss 3.5527 | grad_norm 0.195 | lr x1.000
step   3320 | loss 3.5525 | grad_norm 0.186 | lr x1.000
step   3340 | loss 3.5708 | grad_norm 0.184 | lr x1.000
step   3360 | loss 3.5885 | grad_norm 0.190 | lr x1.000
step   3380 | loss 3.5924 | grad_norm 0.185 | lr x1.000
step   3400 | loss 3.5686 | grad_norm 0.192 | lr x1.000
step   3420 | loss 3.5317 | grad_norm 0.177 | lr x1.000
step   3440 | loss 3.5740 | grad_norm 0.186 | lr x1.000
