step,tokens,elapsed_s,loss,grad_norm,lr_mult
2360,618659840,3324.7,3.6971,0.263,0.7870
2380,623902720,3350.0,3.7095,0.280,0.7937
2400,629145600,3375.4,3.7356,0.299,0.8003
2420,634388480,3400.8,3.7266,0.290,0.8070
2440,639631360,3426.4,3.6723,0.275,0.8137
2460,644874240,3451.8,3.7348,0.291,0.8203
2480,650117120,3477.6,3.6792,0.272,0.8270
2500,655360000,3503.1,3.6630,0.253,0.8337
2520,660602880,3531.4,3.6710,0.264,0.8403
2540,665845760,3556.9,3.6895,0.266,0.8470
2560,671088640,3582.4,3.7378,0.269,0.8537
2580,676331520,3607.8,3.6611,0.237,0.8603
2600,681574400,3633.4,3.6267,0.265,0.8670
2620,686817280,3658.8,3.5999,0.266,0.8737
2640,692060160,3684.3,3.7237,0.259,0.8803
2660,697303040,3709.7,3.6926,0.238,0.8870
2680,702545920,3735.4,3.6635,0.254,0.8937
2700,707788800,3760.8,3.6916,0.259,0.9003
2720,713031680,3787.5,3.6278,0.262,0.9070
2740,718274560,3813.1,3.5991,0.239,0.9137
2760,723517440,3849.4,3.6483,0.231,0.9203
2780,728760320,3876.7,3.6296,0.236,0.9270
2800,734003200,3902.2,3.6404,0.254,0.9337
2820,739246080,3927.8,3.6336,0.214,0.9403
2840,744488960,3953.1,3.6437,0.251,0.9470
2860,749731840,3978.7,3.6456,0.206,0.9537
2880,754974720,4004.1,3.6282,0.233,0.9603
2900,760217600,4029.6,3.6770,0.214,0.9670
2920,765460480,4055.0,3.5945,0.230,0.9737
2940,770703360,4080.4,3.5668,0.249,0.9803
2960,775946240,4105.8,3.6782,0.241,0.9870
2980,781189120,4131.4,3.6414,0.226,0.9937
3000,786432000,4156.8,3.5902,0.244,1.0000
3020,791674880,4185.5,3.5720,0.225,1.0000
3040,796917760,4210.9,3.6347,0.211,1.0000
3060,802160640,4236.5,3.6338,0.210,1.0000
3080,807403520,4261.9,3.6204,0.214,1.0000
3100,812646400,4287.6,3.5935,0.198,1.0000
3120,817889280,4313.0,3.5700,0.214,1.0000
3140,823132160,4338.6,3.5726,0.198,1.0000
3160,828375040,4364.1,3.5651,0.207,1.0000
3180,833617920,4389.6,3.5929,0.189,1.0000
3200,838860800,4415.0,3.5998,0.196,1.0000
3220,844103680,4440.5,3.6324,0.204,1.0000
3240,849346560,4465.9,3.6264,0.187,1.0000
3260,854589440,4494.6,3.6029,0.189,1.0000
3280,859832320,4520.0,3.5894,0.192,1.0000
3300,865075200,4545.5,3.5527,0.195,1.0000
3320,870318080,4571.1,3.5525,0.186,1.0000
3340,875560960,4596.6,3.5708,0.184,1.0000
3360,880803840,4622.1,3.5885,0.190,1.0000
3380,886046720,4647.6,3.5924,0.185,1.0000
3400,891289600,4673.1,3.5686,0.192,1.0000
3420,896532480,4698.6,3.5317,0.177,1.0000
3440,901775360,4724.1,3.5740,0.186,1.0000
3460,907018240,4749.5,3.5432,0.180,1.0000
3480,912261120,4775.1,3.5074,0.181,1.0000
3500,917504000,4800.6,3.5044,0.175,1.0000
3520,922746880,4829.8,3.5210,0.184,1.0000
3540,927989760,4855.2,3.5841,0.171,1.0000
3560,933232640,4880.8,3.5864,0.187,1.0000
3580,938475520,4906.3,3.5299,0.165,1.0000
3600,943718400,4932.1,3.4836,0.175,1.0000
3620,948961280,4957.5,3.5482,0.163,1.0000
3640,954204160,4983.3,3.4978,0.170,1.0000
3660,959447040,5008.8,3.5336,0.192,1.0000
3680,964689920,5034.3,3.5358,0.179,1.0000
3700,969932800,5059.8,3.4679,0.181,1.0000
3720,975175680,5085.3,3.5504,0.181,1.0000
3740,980418560,5110.8,3.5120,0.174,1.0000
3760,985661440,5139.4,3.5643,0.157,1.0000
3780,990904320,5165.0,3.5373,0.171,1.0000
3800,996147200,5190.5,3.5057,0.170,1.0000
3820,1001390080,5216.1,3.5158,0.173,1.0000
3840,1006632960,5241.6,3.5138,0.170,1.0000
3860,1011875840,5267.3,3.5511,0.172,1.0000
3880,1017118720,5292.8,3.4957,0.158,1.0000
3900,1022361600,5318.4,3.4863,0.167,1.0000
3920,1027604480,5343.9,3.5634,0.165,1.0000
3940,1032847360,5369.6,3.4931,0.163,1.0000
3960,1038090240,5395.1,3.5039,0.172,1.0000
3980,1043333120,5420.6,3.4619,0.153,1.0000
4000,1048576000,5446.0,3.4935,0.154,1.0000
4020,1053818880,5474.6,3.4506,0.162,1.0000
4040,1059061760,5500.1,3.5875,0.161,1.0000
4060,1064304640,5525.6,3.5613,0.155,1.0000
4080,1069547520,5551.0,3.5005,0.157,1.0000
4100,1074790400,5576.6,3.4244,0.152,1.0000
4120,1080033280,5602.1,3.5143,0.153,1.0000
4140,1085276160,5627.6,3.4824,0.168,1.0000
4160,1090519040,5653.1,3.5010,0.154,1.0000
4180,1095761920,5678.5,3.4680,0.152,1.0000
4200,1101004800,5703.9,3.5903,0.155,1.0000
4220,1106247680,5729.3,3.4469,0.154,1.0000
4240,1111490560,5754.7,3.4734,0.145,1.0000
4260,1116733440,5784.1,3.4322,0.159,1.0000
4280,1121976320,5809.5,3.5278,0.154,1.0000
4300,1127219200,5835.0,3.4809,0.153,1.0000
4320,1132462080,5860.6,3.4359,0.153,1.0000
4340,1137704960,5886.0,3.4973,0.157,1.0000
4360,1142947840,5911.5,3.4210,0.150,1.0000
4380,1148190720,5936.8,3.4949,0.137,1.0000
4400,1153433600,5962.2,3.3700,0.156,1.0000
4420,1158676480,5987.6,3.4515,0.146,1.0000
4440,1163919360,6013.1,3.4557,0.160,1.0000
4460,1169162240,6038.4,3.4858,0.149,1.0000
4480,1174405120,6064.0,3.4873,0.142,1.0000
4500,1179648000,6089.4,3.5159,0.157,1.0000
4520,1184890880,6118.1,3.4908,0.145,1.0000
4540,1190133760,6143.6,3.4516,0.143,1.0000
4560,1195376640,6169.2,3.4405,0.130,1.0000
4580,1200619520,6194.7,3.4868,0.139,1.0000
4600,1205862400,6220.3,3.4187,0.153,1.0000
4620,1211105280,6246.0,3.4835,0.151,1.0000
4640,1216348160,6271.5,3.4633,0.136,1.0000
4660,1221591040,6297.0,3.4055,0.143,1.0000
4680,1226833920,6322.5,3.4589,0.157,1.0000
4700,1232076800,6347.9,3.4577,0.145,1.0000
4720,1237319680,6373.3,3.4846,0.141,1.0000
4740,1242562560,6398.7,3.4828,0.153,1.0000
4760,1247805440,6427.3,3.3832,0.133,1.0000
4780,1253048320,6452.9,3.4067,0.138,1.0000
4800,1258291200,6478.2,3.4246,0.138,1.0000
4820,1263534080,6503.8,3.4208,0.142,1.0000
4840,1268776960,6529.2,3.4850,0.139,1.0000
4860,1274019840,6555.1,3.4630,0.148,1.0000
4880,1279262720,6580.6,3.4612,0.135,1.0000
4900,1284505600,6606.3,3.4276,0.147,1.0000
4920,1289748480,6631.7,3.4686,0.138,1.0000
4940,1294991360,6657.1,3.4756,0.137,1.0000
4960,1300234240,6682.5,3.4114,0.144,1.0000
4980,1305477120,6708.0,3.4486,0.142,1.0000
5000,1310720000,6733.6,3.5006,0.140,1.0000
5020,1315962880,6762.1,3.4055,0.139,1.0000
5040,1321205760,6787.5,3.4523,0.130,1.0000
5060,1326448640,6812.9,3.4516,0.146,1.0000
5080,1331691520,6838.3,3.4854,0.144,1.0000
5100,1336934400,6864.2,3.4293,0.140,1.0000
5120,1342177280,6889.6,3.4202,0.148,1.0000
5140,1347420160,6915.0,3.4566,0.140,1.0000
5160,1352663040,6940.4,3.4503,0.141,1.0000
5180,1357905920,6966.1,3.4085,0.136,1.0000
5200,1363148800,6991.5,3.4536,0.131,1.0000
5220,1368391680,7016.9,3.4040,0.135,1.0000
5240,1373634560,7042.3,3.4352,0.140,1.0000
5260,1378877440,7070.7,3.4277,0.144,1.0000
5280,1384120320,7096.2,3.3684,0.140,1.0000
5300,1389363200,7121.5,3.4606,0.133,1.0000
5320,1394606080,7147.1,3.4228,0.135,1.0000
5340,1399848960,7172.5,3.3702,0.141,1.0000
5360,1405091840,7198.1,3.3931,0.132,1.0000
5380,1410334720,7223.5,3.4482,0.147,1.0000
5400,1415577600,7249.2,3.4024,0.131,1.0000
5420,1420820480,7274.7,3.3704,0.140,1.0000
5440,1426063360,7300.1,3.4119,0.131,1.0000
5460,1431306240,7325.5,3.4052,0.131,1.0000
5480,1436549120,7350.9,3.4544,0.125,1.0000
5500,1441792000,7376.3,3.4437,0.134,1.0000
