Corpus: 5,402,429,161 tokens (54,024,291 val) | device: cuda | bf16 + FlashAttention
Model: 106.9M params | GQA 12q/4kv | Muon+AdamW
step      0 | loss 9.1717 | grad_norm 8.099 | lr x0.000
           val loss 9.1727
           VRAM: 20.4 GB used / 20.5 GB reserved
step     20 | loss 9.0619 | grad_norm 7.853 | lr x0.007
step     40 | loss 8.7673 | grad_norm 6.430 | lr x0.014
step     60 | loss 8.4215 | grad_norm 4.098 | lr x0.020
step     80 | loss 8.1279 | grad_norm 2.051 | lr x0.027
step    100 | loss 7.8948 | grad_norm 1.130 | lr x0.034
step    120 | loss 7.7329 | grad_norm 1.120 | lr x0.040
step    140 | loss 7.5222 | grad_norm 1.964 | lr x0.047
step    160 | loss 7.3150 | grad_norm 2.381 | lr x0.054
step    180 | loss 7.0784 | grad_norm 2.566 | lr x0.060
step    200 | loss 6.8593 | grad_norm 2.592 | lr x0.067
step    220 | loss 6.6050 | grad_norm 3.675 | lr x0.074
step    240 | loss 6.4268 | grad_norm 3.454 | lr x0.080
           val loss 6.4784
step    260 | loss 6.2983 | grad_norm 3.584 | lr x0.087
step    280 | loss 6.1052 | grad_norm 3.948 | lr x0.094
step    300 | loss 5.9778 | grad_norm 4.359 | lr x0.100
step    320 | loss 5.8371 | grad_norm 4.579 | lr x0.107
step    340 | loss 5.6448 | grad_norm 4.473 | lr x0.114
step    360 | loss 5.5492 | grad_norm 5.575 | lr x0.120
step    380 | loss 5.4117 | grad_norm 4.852 | lr x0.127
step    400 | loss 5.3193 | grad_norm 4.875 | lr x0.134
step    420 | loss 5.1670 | grad_norm 4.538 | lr x0.140
step    440 | loss 5.1266 | grad_norm 3.797 | lr x0.147
step    460 | loss 5.0523 | grad_norm 3.493 | lr x0.154
step    480 | loss 4.9348 | grad_norm 3.014 | lr x0.160
step    500 | loss 4.8787 | grad_norm 2.934 | lr x0.167
           val loss 5.1340
step    520 | loss 4.8426 | grad_norm 2.812 | lr x0.174
step    540 | loss 4.7677 | grad_norm 3.185 | lr x0.180
step    560 | loss 4.6909 | grad_norm 2.260 | lr x0.187
step    580 | loss 4.6515 | grad_norm 2.368 | lr x0.194
step    600 | loss 4.5786 | grad_norm 2.210 | lr x0.200
step    620 | loss 4.5232 | grad_norm 2.083 | lr x0.207
step    640 | loss 4.5598 | grad_norm 1.873 | lr x0.214
step    660 | loss 4.5845 | grad_norm 1.783 | lr x0.220
step    680 | loss 4.4469 | grad_norm 1.793 | lr x0.227
step    700 | loss 4.4506 | grad_norm 1.786 | lr x0.234
step    720 | loss 4.3889 | grad_norm 1.525 | lr x0.240
step    740 | loss 4.3945 | grad_norm 1.457 | lr x0.247
           val loss 4.5601
step    760 | loss 4.3119 | grad_norm 1.348 | lr x0.254
step    780 | loss 4.2521 | grad_norm 1.354 | lr x0.260
step    800 | loss 4.3239 | grad_norm 1.284 | lr x0.267
step    820 | loss 4.2328 | grad_norm 1.119 | lr x0.274
step    840 | loss 4.1871 | grad_norm 1.047 | lr x0.280
step    860 | loss 4.1505 | grad_norm 1.106 | lr x0.287
step    880 | loss 4.1404 | grad_norm 1.005 | lr x0.294
step    900 | loss 4.1387 | grad_norm 0.907 | lr x0.300
step    920 | loss 4.0735 | grad_norm 0.996 | lr x0.307
step    940 | loss 4.1507 | grad_norm 0.941 | lr x0.314
step    960 | loss 4.0736 | grad_norm 0.840 | lr x0.320
step    980 | loss 4.0254 | grad_norm 0.858 | lr x0.327
step   1000 | loss 4.1002 | grad_norm 0.828 | lr x0.334
           val loss 4.2804
step   1020 | loss 4.0510 | grad_norm 0.757 | lr x0.340
step   1040 | loss 3.9629 | grad_norm 0.685 | lr x0.347
step   1060 | loss 4.0225 | grad_norm 0.715 | lr x0.354
step   1080 | loss 3.9727 | grad_norm 0.750 | lr x0.360
step   1100 | loss 4.0162 | grad_norm 0.722 | lr x0.367
step   1120 | loss 3.9062 | grad_norm 0.656 | lr x0.374
step   1140 | loss 3.9968 | grad_norm 0.754 | lr x0.380
step   1160 | loss 3.9808 | grad_norm 0.635 | lr x0.387
step   1180 | loss 3.8403 | grad_norm 0.629 | lr x0.394
step   1200 | loss 3.9508 | grad_norm 0.556 | lr x0.400
step   1220 | loss 3.9046 | grad_norm 0.593 | lr x0.407
step   1240 | loss 3.8673 | grad_norm 0.530 | lr x0.414
           val loss 4.0796
step   1260 | loss 3.8744 | grad_norm 0.606 | lr x0.420
step   1280 | loss 3.8512 | grad_norm 0.545 | lr x0.427
step   1300 | loss 3.9037 | grad_norm 0.566 | lr x0.434
step   1320 | loss 3.8655 | grad_norm 0.458 | lr x0.440
step   1340 | loss 3.8558 | grad_norm 0.506 | lr x0.447
step   1360 | loss 3.8706 | grad_norm 0.457 | lr x0.454
step   1380 | loss 3.7962 | grad_norm 0.460 | lr x0.460
step   1400 | loss 3.8287 | grad_norm 0.465 | lr x0.467
step   1420 | loss 3.7806 | grad_norm 0.503 | lr x0.474
step   1440 | loss 3.8035 | grad_norm 0.505 | lr x0.480
step   1460 | loss 3.7403 | grad_norm 0.485 | lr x0.487
step   1480 | loss 3.8068 | grad_norm 0.425 | lr x0.494
step   1500 | loss 3.7005 | grad_norm 0.418 | lr x0.500
           val loss 3.9995
step   1520 | loss 3.7476 | grad_norm 0.440 | lr x0.507
step   1540 | loss 3.7497 | grad_norm 0.369 | lr x0.514
step   1560 | loss 3.6964 | grad_norm 0.383 | lr x0.520
step   1580 | loss 3.7009 | grad_norm 0.394 | lr x0.527
step   1600 | loss 3.7089 | grad_norm 0.375 | lr x0.534
step   1620 | loss 3.7238 | grad_norm 0.357 | lr x0.540
step   1640 | loss 3.6768 | grad_norm 0.347 | lr x0.547
step   1660 | loss 3.7237 | grad_norm 0.373 | lr x0.554
step   1680 | loss 3.6632 | grad_norm 0.342 | lr x0.560
step   1700 | loss 3.7420 | grad_norm 0.380 | lr x0.567
step   1720 | loss 3.6697 | grad_norm 0.326 | lr x0.574
step   1740 | loss 3.6823 | grad_norm 0.371 | lr x0.580
           val loss 3.9258
step   1760 | loss 3.7205 | grad_norm 0.354 | lr x0.587
