Corpus: 5,402,429,161 tokens (54,024,291 val) | device: cuda | bf16 + FlashAttention
Model: 349.1M params | GQA 18q/6kv | Muon+AdamW
step   1860 | loss 3.4321 | grad_norm 0.255 | lr x0.620
step   1880 | loss 3.4260 | grad_norm 0.244 | lr x0.627
step   1900 | loss 3.4077 | grad_norm 0.281 | lr x0.634
step   1920 | loss 3.4470 | grad_norm 0.248 | lr x0.640
step   1940 | loss 3.4588 | grad_norm 0.264 | lr x0.647
step   1960 | loss 3.4079 | grad_norm 0.247 | lr x0.654
step   1980 | loss 3.3904 | grad_norm 0.262 | lr x0.660
step   2000 | loss 3.4774 | grad_norm 0.224 | lr x0.667
           val loss 3.6666
step   2020 | loss 3.4360 | grad_norm 0.239 | lr x0.674
step   2040 | loss 3.4039 | grad_norm 0.233 | lr x0.680
step   2060 | loss 3.3758 | grad_norm 0.254 | lr x0.687
step   2080 | loss 3.3887 | grad_norm 0.215 | lr x0.694
step   2100 | loss 3.4429 | grad_norm 0.227 | lr x0.700
step   2120 | loss 3.4544 | grad_norm 0.209 | lr x0.707
step   2140 | loss 3.3213 | grad_norm 0.220 | lr x0.714
step   2160 | loss 3.3927 | grad_norm 0.208 | lr x0.720
step   2180 | loss 3.4445 | grad_norm 0.226 | lr x0.727
step   2200 | loss 3.4580 | grad_norm 0.217 | lr x0.734
step   2220 | loss 3.3908 | grad_norm 0.212 | lr x0.740
step   2240 | loss 3.3789 | grad_norm 0.201 | lr x0.747
           val loss 3.6647
step   2260 | loss 3.3548 | grad_norm 0.206 | lr x0.754
step   2280 | loss 3.3988 | grad_norm 0.228 | lr x0.760
step   2300 | loss 3.3490 | grad_norm 0.208 | lr x0.767
step   2320 | loss 3.3550 | grad_norm 0.193 | lr x0.774
step   2340 | loss 3.3912 | grad_norm 0.195 | lr x0.780
step   2360 | loss 3.3379 | grad_norm 0.205 | lr x0.787
step   2380 | loss 3.3431 | grad_norm 0.208 | lr x0.794
step   2400 | loss 3.4148 | grad_norm 0.196 | lr x0.800
step   2420 | loss 3.2805 | grad_norm 0.189 | lr x0.807
step   2440 | loss 3.3444 | grad_norm 0.192 | lr x0.814
step   2460 | loss 3.3506 | grad_norm 0.193 | lr x0.820
step   2480 | loss 3.2713 | grad_norm 0.196 | lr x0.827
step   2500 | loss 3.3199 | grad_norm 0.187 | lr x0.834
           val loss 3.6240
step   2520 | loss 3.3402 | grad_norm 0.194 | lr x0.840
step   2540 | loss 3.3887 | grad_norm 0.187 | lr x0.847
step   2560 | loss 3.3730 | grad_norm 0.186 | lr x0.854
step   2580 | loss 3.2505 | grad_norm 0.194 | lr x0.860
step   2600 | loss 3.3333 | grad_norm 0.193 | lr x0.867
step   2620 | loss 3.3185 | grad_norm 0.182 | lr x0.874
step   2640 | loss 3.3073 | grad_norm 0.195 | lr x0.880
step   2660 | loss 3.3165 | grad_norm 0.184 | lr x0.887
step   2680 | loss 3.2916 | grad_norm 0.173 | lr x0.894
step   2700 | loss 3.3130 | grad_norm 0.179 | lr x0.900
step   2720 | loss 3.3295 | grad_norm 0.183 | lr x0.907
step   2740 | loss 3.2822 | grad_norm 0.188 | lr x0.914
           val loss 3.6184
step   2760 | loss 3.3065 | grad_norm 0.157 | lr x0.920
step   2780 | loss 3.3244 | grad_norm 0.184 | lr x0.927
step   2800 | loss 3.3339 | grad_norm 0.182 | lr x0.934
step   2820 | loss 3.3029 | grad_norm 0.170 | lr x0.940
step   2840 | loss 3.2576 | grad_norm 0.167 | lr x0.947
step   2860 | loss 3.3042 | grad_norm 0.168 | lr x0.954
step   2880 | loss 3.3183 | grad_norm 0.159 | lr x0.960
step   2900 | loss 3.3108 | grad_norm 0.154 | lr x0.967
step   2920 | loss 3.2091 | grad_norm 0.164 | lr x0.974
step   2940 | loss 3.3388 | grad_norm 0.161 | lr x0.980
step   2960 | loss 3.3354 | grad_norm 0.176 | lr x0.987
step   2980 | loss 3.2956 | grad_norm 0.163 | lr x0.994
step   3000 | loss 3.3096 | grad_norm 0.163 | lr x1.000
           val loss 3.5432
step   3020 | loss 3.2795 | grad_norm 0.159 | lr x1.000
step   3040 | loss 3.2360 | grad_norm 0.156 | lr x1.000
step   3060 | loss 3.2668 | grad_norm 0.151 | lr x1.000
step   3080 | loss 3.2466 | grad_norm 0.141 | lr x1.000
step   3100 | loss 3.2576 | grad_norm 0.165 | lr x1.000
step   3120 | loss 3.3030 | grad_norm 0.154 | lr x1.000
step   3140 | loss 3.2753 | grad_norm 0.143 | lr x1.000
step   3160 | loss 3.2444 | grad_norm 0.142 | lr x1.000
step   3180 | loss 3.2128 | grad_norm 0.163 | lr x1.000
step   3200 | loss 3.2456 | grad_norm 0.164 | lr x1.000
step   3220 | loss 3.2780 | grad_norm 0.149 | lr x1.000
step   3240 | loss 3.2265 | grad_norm 0.144 | lr x1.000
           val loss 3.5110
step   3260 | loss 3.2507 | grad_norm 0.144 | lr x1.000
step   3280 | loss 3.2587 | grad_norm 0.138 | lr x1.000
step   3300 | loss 3.2538 | grad_norm 0.138 | lr x1.000
step   3320 | loss 3.2637 | grad_norm 0.133 | lr x1.000
step   3340 | loss 3.2772 | grad_norm 0.136 | lr x1.000
step   3360 | loss 3.2003 | grad_norm 0.139 | lr x1.000
step   3380 | loss 3.1995 | grad_norm 0.136 | lr x1.000
step   3400 | loss 3.1552 | grad_norm 0.133 | lr x1.000
step   3420 | loss 3.2471 | grad_norm 0.134 | lr x1.000
step   3440 | loss 3.2016 | grad_norm 0.130 | lr x1.000
step   3460 | loss 3.2501 | grad_norm 0.134 | lr x1.000
step   3480 | loss 3.2299 | grad_norm 0.146 | lr x1.000
step   3500 | loss 3.1970 | grad_norm 0.142 | lr x1.000
           val loss 3.4714
step   3520 | loss 3.2970 | grad_norm 0.123 | lr x1.000
step   3540 | loss 3.1954 | grad_norm 0.134 | lr x1.000
step   3560 | loss 3.1617 | grad_norm 0.124 | lr x1.000
step   3580 | loss 3.2604 | grad_norm 0.130 | lr x1.000
step   3600 | loss 3.2283 | grad_norm 0.130 | lr x1.000
step   3620 | loss 3.2622 | grad_norm 0.137 | lr x1.000
step   3640 | loss 3.1848 | grad_norm 0.126 | lr x1.000
step   3660 | loss 3.1970 | grad_norm 0.128 | lr x1.000
