step,tokens,elapsed_s,loss,grad_norm,lr_mult
3060,401080320,,3.5599,0.135,1.000
3080,403701760,,3.5701,0.145,1.000
3100,406323200,,3.5670,0.133,1.000
3120,408944640,,3.5519,0.127,1.000
3140,411566080,,3.5708,0.140,1.000
3160,414187520,,3.5938,0.138,1.000
3180,416808960,,3.5034,0.139,1.000
3200,419430400,,3.6002,0.134,1.000
3220,422051840,,3.5587,0.138,1.000
3240,424673280,,3.5814,0.135,1.000
3260,427294720,,3.5394,0.135,1.000
3280,429916160,,3.5065,0.131,1.000
3300,432537600,,3.6478,0.139,1.000
3320,435159040,,3.5948,0.139,1.000
3340,437780480,,3.5029,0.128,1.000
3360,440401920,,3.5243,0.132,1.000
3380,443023360,,3.5143,0.134,1.000
3400,445644800,,3.5174,0.131,1.000
3420,448266240,,3.4472,0.130,1.000
3440,450887680,,3.4957,0.134,1.000
3460,453509120,,3.5530,0.131,1.000
3480,456130560,,3.5097,0.126,1.000
3500,458752000,,3.5531,0.132,1.000
3520,461373440,,3.5264,0.131,1.000
3540,463994880,,3.4452,0.132,1.000
3560,466616320,,3.5219,0.130,1.000
3580,469237760,,3.5594,0.134,1.000
3600,471859200,,3.5015,0.130,1.000
3620,474480640,,3.4710,0.131,1.000
3640,477102080,,3.5767,0.126,1.000
3660,479723520,,3.5780,0.131,1.000
3680,482344960,,3.5115,0.129,1.000
3700,484966400,,3.4304,0.128,1.000
3720,487587840,,3.5663,0.130,1.000
3740,490209280,,3.4809,0.136,1.000
3760,492830720,,3.5051,0.126,1.000
3780,495452160,,3.5929,0.131,1.000
3800,498073600,,3.5478,0.133,1.000
3820,500695040,,3.5665,0.134,1.000
3840,503316480,,3.4582,0.129,1.000
3860,505937920,,3.5198,0.133,1.000
3880,508559360,,3.3990,0.131,1.000
3900,511180800,,3.4324,0.126,1.000
3920,513802240,,3.4434,0.127,1.000
3940,516423680,,3.4623,0.127,1.000
3960,519045120,,3.4693,0.133,1.000
3980,521666560,,3.5090,0.129,1.000
4000,524288000,,3.4542,0.130,1.000
4020,526909440,,3.5335,0.127,1.000
4040,529530880,,3.5099,0.129,1.000
4060,532152320,,3.4934,0.130,1.000
4080,534773760,,3.4363,0.126,1.000
4100,537395200,,3.5110,0.129,1.000
4120,540016640,,3.5793,0.126,1.000
4140,542638080,,3.4541,0.127,1.000
4160,545259520,,3.4785,0.132,1.000
4180,547880960,,3.4102,0.130,1.000
4200,550502400,,3.4840,0.130,1.000
4220,553123840,,3.4538,0.126,1.000
4240,555745280,,3.4086,0.125,1.000
4260,558366720,,3.4569,0.126,1.000
4280,560988160,,3.4685,0.126,1.000
4300,563609600,,3.5005,0.129,1.000
4320,566231040,,3.4217,0.125,1.000
4340,568852480,,3.4896,0.129,1.000
4360,571473920,,3.4931,0.126,1.000
4380,574095360,,3.4824,0.133,1.000
4400,576716800,,3.4580,0.129,1.000
4420,579338240,,3.4749,0.124,1.000
4440,581959680,,3.5339,0.127,1.000
4460,584581120,,3.4473,0.126,1.000
4480,587202560,,3.5225,0.131,1.000
4500,589824000,,3.4947,0.131,1.000
4520,592445440,,3.4428,0.124,1.000
4540,595066880,,3.4681,0.126,1.000
4560,597688320,,3.4417,0.128,1.000
4580,600309760,,3.4046,0.126,1.000
4600,602931200,,3.5178,0.129,1.000
4620,605552640,,3.4624,0.127,1.000
4640,608174080,,3.4030,0.129,1.000
4660,610795520,,3.4913,0.123,1.000
4680,613416960,,3.3317,0.126,1.000
4700,616038400,,3.3858,0.126,1.000
4720,618659840,,3.4785,0.126,1.000
4740,621281280,,3.4361,0.127,1.000
4760,623902720,,3.4063,0.124,1.000
4780,626524160,,3.4240,0.122,1.000
4800,629145600,,3.4299,0.124,1.000
4820,631767040,,3.3944,0.127,1.000
4840,634388480,,3.3143,0.126,1.000
4860,637009920,,3.4173,0.125,1.000
4880,639631360,,3.4901,0.127,1.000
4900,642252800,,3.3895,0.128,1.000
